#name,ra,dec#
SN 2023tsz,129.37301,-0.04325
Coma Cluster,419.70833,12.99686
Virgo Cluster,186.75,12.71667
UGC 5900,162.0133333,40.7643194
UGC 4132,119.8044167,32.9147028
NGC 7775,358.1018750,28.7726667
NGC 6951,309.3087500,66.1055556
NGC 4939,196.0600000,-10.3394444
NGC 4038,180.4708333,-18.8694444
NGC 2770,137.3900917,33.1234139
NGC 2403,114.2141667,65.6025000
NGC 1084,41.4996917,-7.5786389
NGC 772,29.8316667,19.0075000
NGC 309,14.1775000,-9.9138889
M82,148.9675000,69.6797222
M66,170.0626083,12.9912889
M64,194.1820667,21.6826583
M51,202.4695833,47.1952778
IC 5145,328.5958333,15.1566667
IC 1613,16.1991667,2.1177778
NGC 5468,211.6454167,-5.4530556
NGC 3938,178.1787500,44.1213889
NGC 3367,161.6458333,13.7508333
NGC 3147,154.2237500,73.4008333
NGC 2276,111.8095833,85.7541667
NGC 2207,94.0916667,-21.3727778
NGC 1448,56.1329167,-44.6447222
M101,210.8025000,54.3491667
M83,204.2538292,-29.8657611
NGC 3184,154.5708333,41.4244444
M100,185.7287500,15.8225000
M61,185.4787500,4.4736111
NGC 6946,308.7179167,60.1538889
NGC 3690,172.1380417,58.5661111
29 Amphitrite,25.2792,14.8117
136472 Makemake,200.9500,21.5067
